노선번호,노선아이디,정류소아이디,정류소순번,정류소명,정류소번호,x,y
101,228000179,206000215,102,오리역, 07057,127.1087333,37.3402667
103,204000060,205000227,1,도촌동9단지앞, 06199,127.1627833,37.4118167
103,204000060,205000220,2,도촌7단지.8단지, 06187,127.1616,37.4120167
103,204000060,205000221,3,도촌초등학교.도촌종합사회복지관, 06186,127.1575667,37.4139333
103,204000060,205000352,4,도촌4단지, 06327,127.1556167,37.4144833
103,204000060,205000222,5,도촌3단지.스위첸파티오1단지, 06195,127.1530667,37.4146
103,204000060,205000231,6,동강프라자앞, 06203,127.1506833,37.41435
103,204000060,205000217,7,도촌1.2단지, 06193,127.1487833,37.4146333
103,204000060,206000391,8,동원.SK아파트, 07374,127.1432833,37.4129333
103,204000060,206000676,9,매화마을주공4단지, 07443,127.14205,37.413
103,204000060,206000144,10,분당아람고등학교, 07305,127.13835,37.41325
103,204000060,206000143,11,매화마을2단지, 07236,127.1366833,37.4134667
103,204000060,206000142,12,장미마을.현대아파트, 07217,127.1323667,37.4137167
103,204000060,206000141,13,장미마을, 07211,127.1305333,37.41395
103,204000060,206000157,14,야탑역.종합버스터미널(전면), 07201,127.1285,37.4114167
103,204000060,206000392,15,쌍용아파트, 07386,127.1284333,37.4068667
103,204000060,206000298,16,삼환진덕아파트, 07193,127.12735,37.4055333
103,204000060,206000310,17,탑마을대우아파트, 07145,127.1223667,37.4055833
103,204000060,204000203,18,송현초등학교.판교이지더원2단지, 05183,127.1177833,37.4051833
103,204000060,204000207,19,벌말육교, 05190,127.1166667,37.40205
103,204000060,206000614,20,봇들마을7단지, 07558,127.1166667,37.3980833
103,204000060,206000616,21,성남역.보평중고등학교, 07556,127.11665,37.39495
103,204000060,206000531,22,백현마을1단지, 07488,127.1145,37.3919667
103,204000060,206000532,23,판교역.낙생육교.현대백화점, 07489,127.1118833,37.3918667
103,204000060,206000018,24,너더리육교, 07020,127.0996,37.3883833
103,204000060,206000017,25,한림아파트, 07017,127.0960833,37.3885
103,204000060,206000554,26,판교청소년수련관.판교종합사회복지관, 07501,127.0916833,37.38935
103,204000060,206000016,27,판교원마을1.2단지.판교도서관, 07014,127.0890667,37.3899
103,204000060,206000556,28,뫼루니육교, 07515,127.0830333,37.3913
103,204000060,206000660,29,운중동행정복지센터사거리, 07021,127.0773833,37.3917833
103,204000060,206000014,30,운중고등학교, 07010,127.0730167,37.3918167
103,204000060,206000557,31,운중초등학교, 07506,127.0667833,37.3916
103,204000060,206000657,32,한빛교회.월든힐스아파트, 07582,127.0641,37.3921333
103,204000060,206000012,33,운중동푸르지오하임, 07006,127.0609833,37.392
103,204000060,206000470,34,운중동먹거리촌, 07440,127.05835,37.3915167
103,204000060,206000149,35,하오개로육교, 07001,127.0385833,37.3935167
103,204000060,226000122,36,원터마을, 27131,127.0223167,37.3945667
103,204000060,226000121,37,새터마을, 27126,127.0123,37.3925667
103,204000060,226000120,38,한직골.농협, 27125,126.9984833,37.3889333
103,204000060,226000185,39,청계동주민센터, 27152,126.9952667,37.3895333
103,204000060,226000119,40,양지편.청계성당, 27123,126.99175,37.39065
103,204000060,226000118,41,서울구치소, 27121,126.9889,37.3919
103,204000060,226000057,42,인덕원푸르지오엘센트로.의왕고용복지플러스센터, 27117,126.98515,37.3953
103,204000060,209000186,43,포일어울림센터.인덕원삼호아파트, 10187,126.9823167,37.3974833
103,204000060,209000153,44,인덕원삼성아파트.인덕원고등학교, 10186,126.9804333,37.39875
103,204000060,209000152,45,인덕원역1번출구, 10181,126.9780667,37.4011333
103,204000060,220000092,46,과천린파밀리에, 21082,126.9798167,37.4082667
103,204000060,220000028,47,과천푸르지오라비엔오, 21002,126.9822167,37.4133
103,204000060,220000027,48,찬우물, 21004,126.9843,37.4151
103,204000060,220000031,49,정보과학도서관.원문동행정복지센터, 21031,126.9885833,37.4190167
103,204000060,220000026,50,과천위버필드.래미안슈르, 21007,126.98905,37.42165
103,204000060,220000025,51,정부과천청사역2번출구, 21009,126.9902833,37.4264333
103,204000060,220000024,52,과천중앙공원.KT과천지사, 21012,126.9922333,37.4286833
103,204000060,220000023,53,경기과천교육도서관.과천역6출구, 21017,126.9946667,37.43145
103,204000060,220000022,54,8.9단지, 21020,126.9966667,37.4356833
103,204000060,220000021,55,관문체육공원.과천성당, 21015,126.9945667,37.4389
103,204000060,220000020,56,과천동행정복지센터, 21013,126.9941667,37.44955
103,204000060,220000001,57,남태령고개, 21008,126.9889167,37.45795
103,204000060,277103903,58,서울진입(경유),,126.9881167,37.4623833
103,204000060,120000671,59,남태령역(중),,126.9880667,37.4658833
103,204000060,121001315,60,사당역(중),,126.9820167,37.4743
103,204000060,277101688,61,사당역사거리(경유),,126.98195,37.4780167
103,204000060,277103537,62,사당역10번출구(경유),,126.9815,37.4789667
103,204000060,121001314,63,사당역(중),,126.9817333,37.4747167
103,204000060,120000672,64,사당자동차학원(중),,126.9833,37.4713167
103,204000060,120000061,65,남태령역, 89034,126.9878833,37.4655833
103,204000060,220000002,66,남태령고개, 21005,126.9885333,37.4577167
103,204000060,220000009,67,과천동행정복지센터, 21014,126.9940833,37.4486333
103,204000060,220000008,68,관문체육공원.과천성당, 21016,126.9943167,37.4387667
103,204000060,220000007,69,10단지, 21019,126.9964833,37.4353167
103,204000060,220000006,70,경기과천교육도서관.과천역7출구, 21018,126.9945667,37.4318333
103,204000060,220000005,71,정부과천청사역11번출구.KT과천지사, 21011,126.99175,37.4286833
103,204000060,220000004,72,정부과천청사역3번출구, 21010,126.9899167,37.4266
103,204000060,220000003,73,수자원공사.센트레빌아스테리움, 21006,126.9887,37.4216833
103,204000060,220000030,74,찬우물, 21003,126.98395,37.4154833
103,204000060,220000029,75,과천지식정보타운, 21001,126.9817167,37.4135167
103,204000060,220000082,76,과천린파밀리에, 21072,126.97925,37.4082333
103,204000060,209000151,77,인덕원역2번출구, 10180,126.9777833,37.40085
103,204000060,209000150,78,인덕원삼성아파트.인덕원고등학교, 10184,126.9794667,37.3990667
103,204000060,209000185,79,포일어울림센터.인덕원삼호아파트, 10188,126.98185,37.3974167
103,204000060,226000056,80,인덕원푸르지오엘센트로.의왕고용복지플러스센터, 27116,126.9849667,37.395
103,204000060,226000117,81,서울구치소, 27120,126.98825,37.3918667
103,204000060,226000116,82,양지편.청계성당, 27122,126.9913,37.3904833
103,204000060,226000186,83,청계동주민센터, 27180,126.9955167,37.3892
103,204000060,226000115,84,청계농협, 27124,126.9975333,37.3888167
103,204000060,226000114,85,새터마을, 27127,127.0138167,37.3927667
103,204000060,226000113,86,원터마을, 27130,127.0231333,37.3942667
103,204000060,206000010,87,운중동먹거리촌, 07004,127.0582333,37.3914
103,204000060,206000009,88,운중동푸르지오하임, 07005,127.0611,37.3919333
103,204000060,206000658,89,한빛교회.월든힐스아파트, 07581,127.0639667,37.39205
103,204000060,206000558,90,운중초등학교, 07507,127.0665667,37.39135
103,204000060,206000007,91,운중중학교, 07009,127.07305,37.3916
103,204000060,206000006,92,운중동행정복지센터, 07011,127.0776667,37.3915
103,204000060,206000005,93,뫼루니육교, 07013,127.0828833,37.3910167
103,204000060,206000004,94,판교원마을1.2단지.판교도서관, 07015,127.0879333,37.3898167
103,204000060,206000555,95,판교청소년수련관.판교종합사회복지관, 07502,127.0919333,37.3889833
103,204000060,206000003,96,한림아파트, 07016,127.0961333,37.3882167
103,204000060,206000002,97,너더리육교, 07018,127.0996,37.3881
103,204000060,206000534,98,지역난방공사, 07491,127.10475,37.3934333
103,204000060,206000535,99,판교역.낙생육교.현대백화점, 07492,127.1117,37.3914833
103,204000060,206000617,100,성남역.보평중고등학교, 07557,127.1169667,37.3946833
103,204000060,206000615,101,봇들마을9단지, 07555,127.11695,37.398
103,204000060,204000208,102,벌말육교, 05189,127.117,37.40215
103,204000060,204000204,103,송현초등학교.판교봇들마을4단지, 05184,127.1177667,37.4048833
103,204000060,206000309,104,아름마을건영아파트, 07146,127.1212667,37.4053333
103,204000060,206000277,105,삼환아파트, 07188,127.1268167,37.4052833
103,204000060,206000441,106,경남아너스빌, 07404,127.12895,37.4073333
103,204000060,206000108,107,야탑역.종합버스터미널(전면), 07195,127.1289667,37.4121
103,204000060,206000148,108,장미마을, 07208,127.1300333,37.4137
103,204000060,206000147,109,장미마을.현대아파트, 07215,127.1321333,37.4135167
103,204000060,206000145,110,매화마을2단지, 07235,127.1365167,37.4132167
103,204000060,206000669,111,청구빌라앞, 07589,127.1399667,37.4128833
103,204000060,206000727,112,매화마을4단지, 07632,127.1421167,37.4127667
103,204000060,206000390,113,동원.SK아파트, 07375,127.1440667,37.4133167
103,204000060,205000097,114,도촌동1단지앞, 06023,127.1449333,37.41425
103,204000060,205000211,115,도촌1.2단지, 06192,127.14865,37.4145333
