연도,월,시간,이용객수,순위,노선,노선아이디,기점,종점,배차간격(평일)(분),첫차시간,막차시간,,,,
2023,1,10시~11시,1638,4,57,204000005,선경아파트,세곡동사거리,6,0500,2230,,,,
2023,1,10시~11시,332,15,6,204000004,상대원차고지,남한산성입구.양지파출소,8,0530,2240,,,,
2023,1,10시~11시,229,22,60,204000013,차고지대기(경유),복정역환승센터1번승강장,15,0500,2200,,,,
2023,1,10시~11시,500,12,720-1A,204000151,오리역,남한산성입구.양지파출소,10,0500,2300,,,,
2023,1,10시~11시,92,33,810,204000174,그린빌리지,수진역.성호시장.성일중고입구,15,0600,2300,,,,
2023,1,10시~11시,126,32,811,204000173,도촌9단지후문,수진역.성호시장.성일중고입구,15,0600,2300,,,,
2023,1,10시~11시,496,13,33-1,204000019,산성동,청구아파트,14,0410,2200,,,,
2023,1,10시~11시,231,21,누리1,204000145,성남시장례문화사업소,쇳골마을.궁내동톨게이트,17,0530,2230,,,,
2023,1,10시~11시,227,23,누리2,204000146,사송동종점,국군수도병원,16,0630,2215,,,,
2023,1,10시~11시,167,29,누리3,204000147,뫼루니육교,럭키타운,17,0500,2200,,,,
2023,1,10시~11시,3,37,누리4,204000155,사송동.종점,동원동,18,0500,2200,,,,
2023,1,11시~12시,3650,1,3-1,205000003,광주차고지,사기막골,10,0440,2300,,,,
2023,1,11시~12시,130,28,101,228000179,오리역,수서역5번출구,15,0500,2210,,,,
2023,1,11시~12시,125,29,103,204000060,도촌동9단지앞,사당역(중),18,0500,2150,,,,
2023,1,11시~12시,78,35,200,204000029,도촌동행정복지센터,거여역5번출구,30,0500,2200,,,,
2023,1,11시~12시,1309,5,220,204000022,영원무역,한국학중앙연구원,11,0430,2220,,,,
2023,1,11시~12시,162,25,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,15,0450,2220,,,,
2023,1,11시~12시,253,18,240,204000032,도촌동행정복지센터,남한산성입구,7,0500,2300,,,,
2023,1,11시~12시,783,8,250,204000048,도촌동행정복지센터,궁내동.궁안마을,12,0455,2230,,,,
2023,1,11시~12시,1539,3,300,206000003,오리역,은대미,5,0450,2330,,,,
2023,1,11시~12시,123,30,310,204000163,오리역,(임시)금토동삼거리,10,0500,2230,,,,
