시/군/구,연도,월,노선,시종점,일시,시간,이용객수
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,평일,07시~08시,521
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,평일,08시~09시,842
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,평일,09시~10시,571
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,평일,10시~11시,311
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,평일,11시~12시,269
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,평일,12시~13시,268
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,평일,13시~14시,290
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,평일,14시~15시,227
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,평일,15시~16시,291
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,평일,16시~17시,411
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,평일,17시~18시,512
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,평일,18시~19시,696
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,평일,19시~20시,535
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,평일,20시~21시,287
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,평일,21시~22시,266
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,평일,22시~23시,239
성남시,2023,1,315,기업성장센터-복정역환승센터1번승강장,평일,23시~24시,61
성남시,2023,1,33,사기막골-율동공원,평일,00시~01시,23
성남시,2023,1,33,사기막골-율동공원,평일,04시~05시,194
성남시,2023,1,33,사기막골-율동공원,평일,05시~06시,476
성남시,2023,1,33,사기막골-율동공원,평일,06시~07시,832
성남시,2023,1,33,사기막골-율동공원,평일,07시~08시,1628
성남시,2023,1,33,사기막골-율동공원,평일,08시~09시,2423
성남시,2023,1,33,사기막골-율동공원,평일,09시~10시,1327
성남시,2023,1,33,사기막골-율동공원,평일,10시~11시,963
성남시,2023,1,33,사기막골-율동공원,평일,11시~12시,1104
성남시,2023,1,33,사기막골-율동공원,평일,12시~13시,1043
성남시,2023,1,33,사기막골-율동공원,평일,13시~14시,1270
성남시,2023,1,33,사기막골-율동공원,평일,14시~15시,1197
성남시,2023,1,33,사기막골-율동공원,평일,15시~16시,1537
성남시,2023,1,33,사기막골-율동공원,평일,16시~17시,1493
성남시,2023,1,33,사기막골-율동공원,평일,17시~18시,2012
성남시,2023,1,33,사기막골-율동공원,평일,18시~19시,2225
성남시,2023,1,33,사기막골-율동공원,평일,19시~20시,1471
성남시,2023,1,33,사기막골-율동공원,평일,20시~21시,1068
성남시,2023,1,33,사기막골-율동공원,평일,21시~22시,1034
성남시,2023,1,33,사기막골-율동공원,평일,22시~23시,888
성남시,2023,1,33,사기막골-율동공원,평일,23시~24시,282
성남시,2023,1,33-1,산성동-청구아파트,평일,00시~01시,7
성남시,2023,1,33-1,산성동-청구아파트,평일,04시~05시,226
성남시,2023,1,33-1,산성동-청구아파트,평일,05시~06시,415
성남시,2023,1,33-1,산성동-청구아파트,평일,06시~07시,712
성남시,2023,1,33-1,산성동-청구아파트,평일,07시~08시,1216
성남시,2023,1,33-1,산성동-청구아파트,평일,08시~09시,1847
성남시,2023,1,33-1,산성동-청구아파트,평일,09시~10시,907
