시/군/구,연도,월,노선,시종점,일시,시간,이용객수
성남시,2023,1,330,산성동-운중초등학교,주말,22시~23시,313
성남시,2023,1,330,산성동-운중초등학교,주말,23시~24시,86
성남시,2023,1,331,성남동대형주차장-고속철도수서역,주말,05시~06시,49
성남시,2023,1,331,성남동대형주차장-고속철도수서역,주말,06시~07시,76
성남시,2023,1,331,성남동대형주차장-고속철도수서역,주말,07시~08시,90
성남시,2023,1,331,성남동대형주차장-고속철도수서역,주말,08시~09시,171
성남시,2023,1,331,성남동대형주차장-고속철도수서역,주말,09시~10시,198
성남시,2023,1,331,성남동대형주차장-고속철도수서역,주말,10시~11시,181
성남시,2023,1,331,성남동대형주차장-고속철도수서역,주말,11시~12시,225
성남시,2023,1,331,성남동대형주차장-고속철도수서역,주말,12시~13시,185
성남시,2023,1,331,성남동대형주차장-고속철도수서역,주말,13시~14시,237
성남시,2023,1,331,성남동대형주차장-고속철도수서역,주말,14시~15시,223
성남시,2023,1,331,성남동대형주차장-고속철도수서역,주말,15시~16시,236
성남시,2023,1,331,성남동대형주차장-고속철도수서역,주말,16시~17시,194
