노선번호,기점,종점,노선아이디,노선유형,노선유형명,지역명,정류소아이디,정류소순번,정류소명,정류소번호,지역명,x좌표,y좌표
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000110,62,가천대역.가천대학교,05143,성남,127.1263667,37.4497167
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000023,63,수진리고개.태평고개,05029,성남,127.1267333,37.4443333
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000086,64,통계청.태평역,05038,성남,127.12935,37.4400667
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000085,65,중앙시장.농협,05048,성남,127.13425,37.4415
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000263,66,성남시여성비전센터.삼성생명.한국사회적기업진흥원,05236,성남,127.1376667,37.4425333
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,204000105,67,성남시의료원.신흥1동행정복지센터,05061,성남,127.1402167,37.4432833
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000001,68,신흥역.종합시장,06204,성남,127.14655,37.4403667
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000022,69,성남우체국,06206,성남,127.1507833,37.44185
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000025,70,단대오거리역.(구)종점,06208,성남,127.1556833,37.4440333
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000165,71,단대쇼핑,06052,성남,127.1589667,37.4448
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000164,72,금광1.2동행정복지센터.중원어린이도서관,06068,성남,127.1626833,37.4453833
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000163,73,신구대학.향군회관,06081,성남,127.1663333,37.4463667
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000162,74,신구대학사거리,06084,성남,127.1675,37.4458
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000108,75,선경아파트.성남중원경찰서,06102,성남,127.1701333,37.4417
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000190,76,에스콰이어,06171,성남,127.17255,37.4393
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000106,77,구공단파출소,06122,성남,127.1737833,37.4370167
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000060,78,스타타워.동방렌탈,06131,성남,127.1762833,37.4343333
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000059,79,보통골동양공업사,06140,성남,127.1789667,37.4351
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000058,80,근로자종합복지관,06138,성남,127.1787667,37.4385333
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000057,81,궁전아파트.성지아파트,06143,성남,127.1790167,37.4399
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000030,82,자동차검사소.산성아파트,06136,성남,127.1783833,37.4416833
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,13,일반형시내버스,성남,205000186,83,차고지,06172,성남,127.1791167,37.4438833
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000040,1,오리역,07058,성남,127.1091833,37.3401167
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000219,2,하얀마을.구미도서관,07060,성남,127.1091667,37.3447167
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000088,3,까치마을.건영빌라.2001아울렛,07332,성남,127.1091333,37.3475167
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000267,4,미금역,07079,성남,127.1106167,37.3498833
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000328,5,대원사거리.까치마을,07103,성남,127.1160333,37.3517
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000327,6,더샵분당파크리버.헬스케어혁신파크,07121,성남,127.1182167,37.3542667
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000249,7,이마트,07133,성남,127.11925,37.3580167
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000039,8,이마트,07140,성남,127.12055,37.3591
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000038,9,분당중앙고등학교,07153,성남,127.1230667,37.35985
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000037,10,정든마을.우성아파트,07154,성남,127.1233167,37.3624
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000036,11,한솔마을청구아파트,07163,성남,127.1236167,37.3640667
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000035,12,동국대한방병원.수내고교,07190,성남,127.1269333,37.36665
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000034,13,푸른마을신성아파트,07200,성남,127.1284667,37.3683667
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000033,14,분당동행정복지센터,07212,성남,127.1307333,37.3702167
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000685,15,샛별마을동성아파트,07807,성남,127.1333333,37.3716
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000032,16,그린타운정문,07229,성남,127.13495,37.3727333
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000031,17,분당등기소,07239,성남,127.1368,37.3741167
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000030,18,임광아파트후문,07251,성남,127.1390167,37.3756833
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000029,19,임광아파트정문.효자촌입구.분당중앙교회,07250,성남,127.1388,37.37725
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000318,20,서현중학교,07228,성남,127.1342833,37.38125
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000438,21,양현보도육교,07436,성남,127.1300333,37.38415
101,오리역,수서역5번출구,228000179,13,일반형시내버스,성남,206000316,22,이매촌한신.서현역.AK프라자,07170,성남,127.1246333,37.3884833
