노선번호,기점,종점,노선아이디,노선번호,노선유형,노선유형명,지역명,,,
G6009,호수자이파밀리에.아이원,잠실광역환승센터,233000322,G6009,11,직행좌석형시내버스,"서울,성남,화성",,,
M4102,오리역,숭례문,234001159,M4102,14,광역급행형시내버스,"서울,성남",,,
M4101,상현역,숭례문,234000875,M4101,14,광역급행형시내버스,"서울,성남,수원,용인",,,
M4108,나루마을.월드반도,서울역버스환승센터(6번승강장)(중),234001245,M4108,14,광역급행형시내버스,"서울,화성",,,
M4130,호수자이파밀리에.아이원,서울역버스환승센터(6번승강장)(중),234001577,M4130,14,광역급행형시내버스,"서울,화성",,,
M4137,아이파크.호수부영4차,서울역버스환승센터(6번승강장)(중),234001622,M4137,14,광역급행형시내버스,"서울,화성",,,
M4403,나루마을.월드반도,강남역티월드,234000995,M4403,14,광역급행형시내버스,"서울,화성",,,
M4434,호수자이파밀리에.아이원,신분당선강남역(중),234001619,M4434,14,광역급행형시내버스,"서울,화성",,,
M4448,아이파크.호수부영4차,신분당선강남역(중),233000332,M4448,14,광역급행형시내버스,"서울,화성",,,
M4449,한신대입구사거리,신분당선강남역(중),233000354,M4449,14,광역급행형시내버스,"서울,오산,화성",,,
M4455,초당역(경유),서초동예술의전당,228000412,M4455,14,광역급행형시내버스,"서울,용인",,,
M5107,경희대차고지(경유),서울역버스환승센터(6번승강장)(중),234001243,M5107,14,광역급행형시내버스,"서울,수원,용인",,,
M5115,상현역,서울역버스환승센터(6번승강장)(중),234001286,M5115,14,광역급행형시내버스,"서울,수원",,,
M5121,삼성전자중앙문,서울역버스환승센터(6번승강장)(중),234001317,M5121,14,광역급행형시내버스,"서울,수원",,,
M5342,수원버스터미널,잠실광역환승센터,234001668,M5342,14,광역급행형시내버스,"서울,수원",,,
M5422,삼성전자중앙문,강남역나라빌딩앞,234001318,M5422,14,광역급행형시내버스,"서울,수원",,,
M5438,평택지제역,신분당선강남역(중),234001660,M5438,14,광역급행형시내버스,"서울,평택",,,
M5532,갈곶리삼거리(경유),사당역4번출구,223000127,M5532,14,광역급행형시내버스,"서울,오산",,,
