연도,월,노선,노선아이디,기점,종점,일시,시간,이용객수,,,,,
2023,1,341,204000067,운중동먹거리촌,청계산입구역,주말,11시~12시,325,,,,,
2023,1,341,204000067,운중동먹거리촌,청계산입구역,주말,12시~13시,355,,,,,
2023,1,341,204000067,운중동먹거리촌,청계산입구역,주말,13시~14시,332,,,,,
2023,1,341,204000067,운중동먹거리촌,청계산입구역,주말,14시~15시,272,,,,,
2023,1,341,204000067,운중동먹거리촌,청계산입구역,주말,15시~16시,353,,,,,
2023,1,341,204000067,운중동먹거리촌,청계산입구역,주말,16시~17시,445,,,,,
2023,1,341,204000067,운중동먹거리촌,청계산입구역,주말,17시~18시,365,,,,,
2023,1,341,204000067,운중동먹거리촌,청계산입구역,주말,18시~19시,342,,,,,
2023,1,341,204000067,운중동먹거리촌,청계산입구역,주말,19시~20시,233,,,,,
2023,1,341,204000067,운중동먹거리촌,청계산입구역,주말,20시~21시,266,,,,,
2023,1,341,204000067,운중동먹거리촌,청계산입구역,주말,21시~22시,273,,,,,
2023,1,341,204000067,운중동먹거리촌,청계산입구역,주말,22시~23시,145,,,,,
2023,1,341,204000067,운중동먹거리촌,청계산입구역,주말,23시~24시,57,,,,,
2023,1,342,204000159,영원무역,청계산옛골,주말,00시~01시,2,,,,,
2023,1,342,204000159,영원무역,청계산옛골,주말,05시~06시,17,,,,,
2023,1,342,204000159,영원무역,청계산옛골,주말,06시~07시,31,,,,,
2023,1,342,204000159,영원무역,청계산옛골,주말,07시~08시,55,,,,,
2023,1,342,204000159,영원무역,청계산옛골,주말,08시~09시,166,,,,,
