노선번호,기점,종점,노선아이디,노선번호,노선유형,노선유형명,지역명
6,상대원차고지,남한산성입구.양지파출소,241283001,6,30,마을버스,"오산,평택"
6,상대원차고지,남한산성입구.양지파출소,241251001,6,30,마을버스,"안양,의왕"
6,상대원차고지,남한산성입구.양지파출소,241382003,6,30,마을버스,군포
60,선경아파트,복정역환승센터1번승강장,224000058,60,13,일반형시내버스,시흥
60,선경아파트,복정역환승센터1번승강장,223000148,60,13,일반형시내버스,오산
60,선경아파트,복정역환승센터1번승강장,215000052,60,13,일반형시내버스,동두천
60,선경아파트,복정역환승센터1번승강장,210000043,60,13,일반형시내버스,부천
60,선경아파트,복정역환승센터1번승강장,208000018,60,13,일반형시내버스,"군포,안양"
60,선경아파트,복정역환승센터1번승강장,218000107,60,13,일반형시내버스,고양
60,선경아파트,복정역환승센터1번승강장,204000013,60,13,일반형시내버스,"서울,성남"
60,선경아파트,복정역환승센터1번승강장,236000039,60,13,일반형시내버스,포천
60,선경아파트,복정역환승센터1번승강장,231000033,60,13,일반형시내버스,안성
60,선경아파트,복정역환승센터1번승강장,232000017,60,13,일반형시내버스,"김포,서울,인천"
60,선경아파트,복정역환승센터1번승강장,234000316,60,13,일반형시내버스,"광주,성남,수원,용인"
60,선경아파트,복정역환승센터1번승강장,239000159,60,23,일반형농어촌버스,가평
60,선경아파트,복정역환승센터1번승강장,241349004,60,30,마을버스,남양주
720-1A,오리역,남한산성입구.양지파출소,204000151,720-1A,13,일반형시내버스,성남
810,그린빌리지,수진역.성호시장.성일중고입구,204000174,810,13,일반형시내버스,성남
810,그린빌리지,수진역.성호시장.성일중고입구,214000160,810,13,일반형시내버스,평택
810,그린빌리지,수진역.성호시장.성일중고입구,241332001,810,30,마을버스,"성남,용인"
8106,오리역,상동역1번출구.부천터미널소풍.홈플러스,234001237,8106,11,직행좌석형시내버스,"부천,성남,시흥,의왕"
8109,오리역,킨텍스제2전시장,234001236,8109,11,직행좌석형시내버스,"고양,구리,남양주,성남,양주"
811,도촌9단지후문,수진역.성호시장.성일중고입구,204000173,811,13,일반형시내버스,성남
9000,성우스타우스,서울역버스환승센터(5번승강장)(중),234000002,9000,11,직행좌석형시내버스,"서울,성남"
9000,성우스타우스,서울역버스환승센터(5번승강장)(중),232000099,9000,11,직행좌석형시내버스,"김포,인천"
Jan-00,단국대학교.죽전야외음악당.성현마을2단지,서울역버스환승센터(5번승강장)(중),234001574,Jan-00,11,직행좌석형시내버스,"서울,성남,용인"
9003,운중동먹거리촌,서울역버스환승센터(5번승강장)(중),204000046,9003,11,직행좌석형시내버스,"서울,성남"
9004,운중동먹거리촌,강남역티월드,204000041,9004,11,직행좌석형시내버스,"서울,성남"
9007,운중동먹거리촌,서울역버스환승센터(5번승강장)(중),204000070,9007,11,직행좌석형시내버스,"서울,성남"
9200,위례중학교.위례센트로엘,서울역버스환승센터(5번승강장)(중),204000141,9200,11,직행좌석형시내버스,"서울,성남,하남"
9300,도촌동9단지앞,서울역버스환승센터(5번승강장)(중),234000886,9300,11,직행좌석형시내버스,"서울,성남"
9400,자동차검사소.산성아파트,지하철2호선강남역(중),204000153,9400,11,직행좌석형시내버스,"서울,성남"
9407,구미동차고지앞,ST송은빌딩,204000024,9407,11,직행좌석형시내버스,"서울,성남"
9507,판교대장로동측,청담초등학교앞,204000059,9507,11,직행좌석형시내버스,"서울,성남"
9607,성우스타우스,청담초등학교앞,204000065,9607,11,직행좌석형시내버스,"서울,성남"
9800,영원무역,지하철2호선강남역(중),204000156,9800,11,직행좌석형시내버스,"서울,성남"
G8110,오리역,국가인권위.안중근활동터(중),204000082,G8110,11,직행좌석형시내버스,"서울,성남"
M4102,오리역,숭례문,234001159,M4102,14,광역급행형시내버스,"서울,성남"
누리1,성남시장례문화사업소,쇳골마을.궁내동톨게이트,204000145,누리1,13,일반형시내버스,성남
누리2,사송동종점,국군수도병원,204000146,누리2,13,일반형시내버스,성남
누리3,뫼루니육교,럭키타운,204000147,누리3,13,일반형시내버스,성남
누리4,사송동.종점,동원동,204000155,누리4,13,일반형시내버스,성남
1005,외국어대학교,신분당선강남역(중),234000065,1005,11,직행좌석형시내버스,"광주,서울,성남,용인"
1007,수원대학교,잠실광역환승센터,234000015,1007,11,직행좌석형시내버스,"서울,성남,수원,화성"
1007-1,영통차고지대기(경유),잠실역.롯데월드,234000013,1007-1,11,직행좌석형시내버스,"서울,성남,수원,용인"
1009,수원대학교,잠실광역환승센터,234000310,1009,11,직행좌석형시내버스,"서울,성남,수원,의왕,화성"
102,단국대.치과병원,건대입구역1번출구,206000007,102,11,직행좌석형시내버스,"서울,성남,용인"
102,단국대.치과병원,건대입구역1번출구,228000269,102,13,일반형시내버스,용인
102,단국대.치과병원,건대입구역1번출구,232000031,102,13,일반형시내버스,김포
102,단국대.치과병원,건대입구역1번출구,213000027,102,13,일반형시내버스,"광명,서울"
1101,단국대.치과병원,신분당선강남역(중),234000879,1101,11,직행좌석형시내버스,"서울,성남,용인"
1101,단국대.치과병원,신분당선강남역(중),235000115,1101,11,직행좌석형시내버스,"서울,양주,의정부"
1112,경희대차고지,테크노마트앞.강변역(C),234000016,1112,11,직행좌석형시내버스,"서울,성남,수원,용인"
1117,외국어대학교,테크노마트앞.강변역(C),234000069,1117,11,직행좌석형시내버스,"광주,서울,성남,용인"
1150,외국어대학교,서울역버스환승센터(5번승강장)(중),234000882,1150,11,직행좌석형시내버스,"광주,서울,성남,용인"
1150,외국어대학교,서울역버스환승센터(5번승강장)(중),214000022,1150,13,일반형시내버스,"안성,평택"
1151,오산리종점,신분당선강남역(중),204000081,1151,11,직행좌석형시내버스,"광주,서울,성남,용인"
116-3,동탄2차고지,미금역.청솔마을.2001아울렛,233000133,116-3,13,일반형시내버스,"성남,용인,화성"
119,오산리종점,군자역.용마초등학교(중),234000040,119,13,일반형시내버스,"광주,서울,성남,용인"
1241,청덕중고교.지식산업센터,강남역티월드,228000181,1241,11,직행좌석형시내버스,"서울,성남,용인"
1303,외국어대학교,안양역,234000130,1303,11,직행좌석형시내버스,"광주,성남,안양,용인,의왕"
1311,한라.이림아파트,강남역도시에빛,234001251,1311,11,직행좌석형시내버스,"서울,오산"
1311,한라.이림아파트,강남역도시에빛,214000014,1311,13,일반형시내버스,"안성,평택"
1311B,한라.이림아파트,강남역도시에빛,234001691,1311B,11,직행좌석형시내버스,"서울,오산"
1500-2,에버랜드(승차홈),사당역3번출구,234000313,1500-2,11,직행좌석형시내버스,"광주,서울,성남,용인"
1550,광교차고지,지하철2호선강남역(중),234000136,1550,11,직행좌석형시내버스,"서울,수원,용인"
1550-1,한신대스쿨버스정류장,신논현역.금강빌딩,234000324,1550-1,11,직행좌석형시내버스,"서울,수원,오산,용인,화성"
1551,수원대학교,양재역.서초문화예술회관(중),234001138,1551,11,직행좌석형시내버스,"서울,화성"
1551B,수원대학교,강남역우리은행,234001290,1551B,11,직행좌석형시내버스,"서울,화성"
