노선번호_x,기점,종점,노선아이디,노선유형,노선유형명,지역명,정류소아이디,정류소순번,정류소명,정류소번호,지역명.1,x좌표,y좌표,정류소아이디2,통과노선수,상세위치,시내버스_경유노선번호,시외버스_경유노선번호
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000166,2,테크노파크.아파트동,7291,성남,127.1514167,37.4049833,206000166,3,농협,"82(마을),8-1(마을),57(시내),60(시내),50(시내),8(마을)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000072,3,상탑파출소,7289,성남,127.1486667,37.4055167,206000072,3,파출소,"57(시내),50(시내),8-1(마을),8(마을),82(마을),60(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000165,4,대원빌라,7287,성남,127.1479333,37.4066,206000165,2,대원빌라앞,"82(마을),57(시내),8-1(마을),8(마을),50(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000164,5,상탑초등학교.성남시한마음복지관,7278,성남,127.1449,37.4074667,206000164,2,한일A앞,"82(마을),50(시내),8(마을),8-1(마을),57(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000163,6,성남세관.시니어산업혁신센터,7269,성남,127.1424,37.4084167,206000163,3,삼정바움하우스,"50(시내),8(마을),57(시내),82(마을),8-1(마을),200(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000162,7,건영빌라,7257,성남,127.14,37.4092833,206000162,3,매화마을동신빌라 / 건영빌라,"82(마을),200(시내),50(시내),57(시내),8(마을),8-1(마을)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000161,8,동신빌라.하탑중학교,7249,성남,127.13835,37.4096167,206000161,3,동신빌라앞,"200(시내),50(시내),57(시내),82(마을),8-1(마을),8(마을)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000160,9,탑마을주공8단지,7326,성남,127.1348333,37.4096667,206000160,5,탑마을주공8단지건너,"82(마을),8-1(마을),8(마을),33-1(시내),200(시내),50(시내),57(시내),720-1A(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000159,10,돌마초교.야탑역.야탑1동행정복지센터,7206,성남,127.13005,37.4099667,206000159,5,돌마초교건너,"8(마을),33-1(시내),82(마을),50(시내),200(시내),720-1A(시내),8-1(마을),57(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000158,11,야탑역.종합버스터미널(후면),7203,성남,127.1289667,37.4117,206000158,19,야탑역1번출구,"330(시내),315(시내),55(시내),60(시내),57(시내),350(시내),340(시내),119(시내),17(시내),17-1A(시내),341(시내),220(시내),51(시내),200(시내),82(마을),8(마을),75(마을),76(마을),357(시내),9(시내),50(시내),17-1(시내)",해당없음
