노선번호_x,기점,종점,노선아이디,노선유형,노선유형명,지역명,정류소아이디,정류소순번,정류소명,정류소번호,지역명.1,x좌표,y좌표,,,,,i,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000036,72,시흥동농협창고,5015,성남,127.1050333,37.4221333,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000155,73,시흥동행정복지센터,5164,성남,127.1082667,37.4222667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000035,74,여수대교,5023,성남,127.1158,37.4218333,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000221,75,사송동선사교회,5193,성남,127.1169,37.42005,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000198,76,수자원공사입구,5179,성남,127.11765,37.4181667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000355,77,분당야탑물류센터,7359,성남,127.1193,37.4151333,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000357,78,탄천종합운동장,7361,성남,127.12235,37.4105667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000252,79,야탑2동행정복지센터.차병원,7187,성남,127.1267667,37.4097167,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000158,80,야탑역.종합버스터미널(후면),7203,성남,127.1289667,37.4117,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000029,81,성남시청전면,6004,성남,127.12905,37.4193833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000021,82,모란역2.3번출구,6160,성남,127.1293833,37.4321,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000086,83,모란역.모란시장입구.풍생중고교,6164,성남,127.1297833,37.4334667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000023,84,종합운동장입구,6013,성남,127.1367,37.4351167,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000002,85,수진역.성호시장.성일중고입구,6205,성남,127.1419833,37.4379167,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000001,86,신흥역.종합시장,6204,성남,127.14655,37.4403667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000022,87,성남우체국,6206,성남,127.1507833,37.44185,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000025,88,단대오거리역.(구)종점,6208,성남,127.1556833,37.4440333,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000165,89,단대쇼핑,6052,성남,127.1589667,37.4448,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000164,90,금광1.2동행정복지센터.중원어린이도서관,6068,성남,127.1626833,37.4453833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000163,91,신구대학.향군회관,6081,성남,127.1663333,37.4463667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000125,92,하원초등학교.신구대학,6100,성남,127.16925,37.447,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000291,93,황송게이트볼장,6266,성남,127.1725167,37.4477167,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000290,94,대원중.금광중,6265,성남,127.1709667,37.44625,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000289,95,황송마을아파트,6264,성남,127.1687833,37.4455167,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000161,96,성남중원경찰서.e편한세상금빛그랑메종5단지후문,6087,성남,127.1677333,37.4427667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000160,97,구서고.금상초교,6074,성남,127.1648167,37.4421333,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000159,98,대일초교.학년쇼핑,6067,성남,127.1623333,37.4403833,,,,,,,,,,,
