연도,관할지역,버스유형,정류소ID,정류소번호,정류소명,통과노선수,정류소아이디,정류소명2,정류소번호2,x좌표,y좌표,행정동,정류장명,상세위치,시내버스_경유노선번호,시외버스_경유노선번호
2023,성남시,일반,206000298,7193,삼환진덕아파트,15,206000298,삼환진덕아파트,7193,127.12735,37.4055333,야탑2동,삼환진덕아파트,삼환진덕아파트건너,"350(시내),73-2(마을),340(시내),4500(시내),73-1(마을),82(마을),1005(시내),9300(시내),103(시내),33(시내),330(시내),357(시내),382(시내),3000(시내),380(시내),3100(시내),341(시내),315(시내)",해당없음
2023,성남시,일반,206000435,7401,한양아파트,2,206000435,한양아파트,7401,127.1247833,37.3830333,서현1동,한양아파트,한양아파트 333동,"3-1(마을),3-2(마을),520(시내),3(마을)",해당없음
2023,성남시,일반,205000250,6231,성남시청후문,6,205000250,성남시청후문,6231,127.1271833,37.4216833,도촌동,성남시청후문,시청후문건너,"9400(시내),9408(서울),9800(시내),87(마을),342(시내),341(시내),4000(시내)",해당없음
2023,성남시,일반,206000334,7095,LG아파트.무지개마을사거리.신한아파트,7,206000334,LG아파트.무지개마을사거리.신한아파트,7095,127.1150167,37.3379667,구미동,LG아파트.무지개마을사거리.신한아파트,LG2단지,"19(마을),9407(시내),9000(시내),9607(시내)",해당없음
2023,성남시,일반,206000355,7359,쉐보레분당서비스센터,2,206000355,분당야탑물류센터,7359,127.1193,37.4151333,야탑1동,쉐보레분당서비스센터,GM대우분당영업소앞,"57(시내),9(시내)",해당없음
2023,성남시,일반,206000349,7353,천은정사,1,206000349,천은정사,7353,127.1426833,37.38315,서현1동,천은정사,새마을로,누리2(시내),해당없음
2023,성남시,일반,205000259,6240,도촌5단지정문,5,205000259,동분당더퍼스트정문,6240,127.1569667,37.41705,도촌동,도촌5단지정문,섬마을휴먼시아5단지정문건너,"380(시내),240(시내),250(시내),누리1(시내),200(시내)",해당없음
2023,성남시,일반,205000199,6176,파리크라상.삼영전자,3,205000199,파리크라상.삼영전자,6176,127.1694333,37.4349167,상대원1동,파리크라상.삼영전자,삼영전자앞,"357(시내),4425(서울),350(시내)",해당없음
2023,성남시,일반,206000720,7805,네오위즈.NHN,1,206000720,네오위즈.NHN,7805,127.1042667,37.39995,삼평동,네오위즈.NHN,판교생태학습원 건너편,380(시내),해당없음
2023,성남시,일반,206000655,7022,백현동종점,1,206000655,백현동종점,7022,127.0915833,37.3834333,운중동,더샵판교퍼스트파크,남서울CC 부근 회전교차로,"370(시내),107(마을),117(마을)",해당없음
2023,성남시,일반,206000199,7308,아데나펠리스,12,206000199,아데나펠리스,7308,127.10835,37.3611167,정자1동,아데나펠리스,탄천변,"누리4(시내),820(시내),390(시내),111(마을),19(마을),111(맞춤형)(마을),117(마을),520(시내),102(시내),1101(시내),1303(시내),250(시내),380(시내),300(시내),1101N(시내),220(시내)",해당없음
2023,성남시,일반,206000717,7813,동원동경로당,1,206000717,동원동경로당,7813,127.1001167,37.3464333,구미1동,동원동경로당,종점 방향,누리4(시내),해당없음
2023,성남시,일반,206000295,7087,양지마을,3,206000295,양지마을,7087,127.11485,37.37295,수내1동,양지마을,한양A건너 / 현대자동차정자대리점,"17(시내),7007-1(시내),33(시내)",해당없음
2023,성남시,일반,206000289,7266,장안한신라이프빌라,2,206000289,장안한신라이프빌라,7266,127.1420167,37.3734333,분당동,장안한신라이프빌라,한신라이프빌라,"3(마을),17(시내),33(시내),602-1A(마을)",해당없음
2023,성남시,일반,206000291,7242,대진고등학교,2,206000291,대진고등학교,7242,127.1376833,37.3698333,분당동,대진고등학교,대진고등학교앞,"602-1A(마을),3(마을),3-2(마을),17(시내),33(시내)",해당없음
2023,성남시,일반,206000306,7160,매송중학교.풍림아파트,2,206000306,매송중학교.풍림아파트,7160,127.1234167,37.3976333,이매2동,매송중학교.풍림아파트,매송중학교앞,"55(시내),9407(시내),3-1(마을)",해당없음
2023,성남시,일반,204000219,5195,삼부아파트,1,204000219,삼부아파트,5195,127.1256,37.4395833,수진2동,삼부아파트,삼부아파트 건너,"357(시내),3-3(마을)",해당없음
2023,성남시,일반,204000334,5324,풍생고등학교.풍생중학교,15,204000334,풍생고등학교.풍생중학교,5324,127.1313333,37.43445,수진2동,풍생고등학교.풍생중학교,풍생고등학교앞,"342(시내),88(마을),340(시내),9(시내),17(시내),57(시내),9800(시내),17-1A(시내),9400(시내),331(시내),31-3(시내),52(시내),31-2(시내),17-1(시내),51(시내)",해당없음
2023,성남시,일반,205000033,6135,영원무역,8,205000033,영원무역,6135,127.1778833,37.4439333,상대원1동,영원무역,영원무역앞,"88-1(마을),88(마을),51(시내),87(마을),342(시내),33(시내),340(시내),9800(시내),3-1(시내),100(시내),220(시내)",해당없음
2023,성남시,일반,206000380,7380,서현고등학교,2,206000380,서현고등학교,7380,127.1236833,37.3807167,서현1동,서현고등학교,서현고,"520(시내),602(마을),602-1A(마을),3-1(마을),720-2(시내)",해당없음
2023,성남시,일반,206000312,7166,매송초교.아름마을,2,206000312,매송초교.아름마을,7166,127.12375,37.4019333,이매2동,매송초교.아름마을,매송초 건너,"55(시내),9407(시내),3-1(마을)",해당없음
2023,성남시,일반,206000373,7378,상탑파출소,2,206000373,상탑파출소,7378,127.1491333,37.40515,야탑3동,상탑파출소,파출소건너,"8-1(마을),50(시내),82(마을),8(마을),60(시내)",해당없음
2023,성남시,일반,206000701,7615,럭키타운,1,206000701,럭키타운,7615,127.139,37.3899333,이매1동,럭키타운,럭키타운,누리3(시내),해당없음
2023,성남시,일반,206000330,7111,미금초등학교,6,206000330,미금초등학교,7111,127.11625,37.3475833,구미1동,미금초등학교,미금초등학교건너,"9000(시내),7(마을),9401(서울),9404(서울),9407(시내)",해당없음
