순번,관할관청,운행업체,노선번호,기점,종점,인가거리,인가대수,출퇴근배차,평일배차,주말배차,주중상행첫차,주중상행막차,주말상행첫차,주말상행막차,주중하행첫차,주중하행막차,주말하행첫차,주말하행막차,비고
13,성남시,대원버스,310,오리역,(임시)금토동삼거리,44,12,10,20,25,05:00,22:30,05:00,22:30,06:00,23:30,06:00,23:30,
14,성남시,대원버스,3100,(임시)금토동삼거리,우림아파트,46.3,6,30,40,60,05:00,23:00,05:00,23:00,05:50,23:50,05:50,23:50,
15,성남시,성남시내버스,315,(임시)금토동삼거리,복정역환승센터1번승강장,40.3,17,12,22,35,05:00,22:00,05:00,22:00,06:05,23:10,06:05,23:10,
16,성남시,성남시내버스,33,사기막골,율동공원,41.5,22,12,22,32,04:20,22:00,04:20,22:00,05:25,23:15,05:25,23:15,
17,성남시,성남시내버스,33-1,산성동,청구아파트,48.9,17,14,24,30,04:10,22:00,04:10,22:00,05:35,23:10,05:35,23:10,
18,성남시,성남시내버스,330,산성동,운중초등학교,29.8,20,10,20,25,04:30,22:00,04:30,22:00,05:25,23:00,05:25,23:00,
19,성남시,성남시내버스,331,성남동대형주차장,고속철도수서역,33.2,10,18,28,35,05:00,22:00,05:00,22:00,05:55,23:05,05:55,23:05,
20,성남시,대원버스,333,자동차검사소.산성아파트,안양역,65,24,10,25,30,04:50,23:20,04:50,23:20,05:00,23:20,05:00,23:20,
21,성남시,대원버스,3330,도촌동9단지앞,안양역,59.4,32,5,15,20,04:50,23:30,04:50,23:30,05:00,23:30,05:00,23:30,
22,성남시,성남시내버스,340,판교대장로동측,영원무역,43,12,17,27,40,04:40,22:00,04:40,22:00,04:40,23:10,04:40,23:10,
23,성남시,성남시내버스,341,운중동먹거리촌,청계산입구역,38.9,10,17,27,30,04:50,22:00,04:50,22:00,05:40,22:55,05:40,22:55,
24,성남시,성남시내버스,342,영원무역,청계산옛골,37.2,13,15,30,45,05:00,22:00,05:00,22:00,06:00,23:00,06:00,23:00,
25,성남시,대명운수,350,상대원차고지,한국학중앙연구원,33.8,23,7,9,12,05:00,22:30,05:00,22:30,05:30,23:10,05:30,23:10,
26,성남시,경기고속,3500,오리역,케피코경기외국어고등학교,65.9,20,10,25,30,04:50,23:20,04:50,23:20,05:20,23:20,05:20,23:20,
27,성남시,대명운수,351,구미동차고지앞,(임시)금토동삼거리,32.2,10,13,20,20,05:00,22:30,05:00,22:30,06:00,23:35,06:00,23:35,
28,성남시,대명운수,357,상대원차고지,삼부아파트,52,10,15,20,28,05:00,22:30,05:00,22:30,06:00,23:40,06:00,23:40,
29,성남시,성남시내버스,370,고등마을아파트,백현동종점,23.1,6,25,35,60,05:00,22:00,05:00,22:00,05:30,22:35,05:30,22:35,
30,성남시,대원버스,375,사송동종점,운중고등학교,29,10,12,25,30,05:00,22:50,05:00,22:50,06:00,23:50,06:00,23:50,
31,성남시,성남시내버스,380,동분당더퍼스트정문,판교대장초·중학교,45.8,13,15,25,45,04:50,22:00,04:50,22:00,05:55,23:10,05:55,23:10,
32,성남시,성남시내버스,382,성남동대형주차장,(임시)금토동삼거리,39,9,23,35,65,05:00,22:00,05:00,22:00,06:15,23:05,06:15,23:05,
33,성남시,대원버스,390,사송동.종점,동백역.용인세브란스병원,46,12,15,20,40,05:20,23:00,05:20,23:00,05:20,23:00,05:20,23:00,
34,성남시,대원버스,4103,판교대장로동측,서울역버스환승센터(5번승강장)(중),64.5,8,15,40,40,05:00,23:00,05:00,23:00,05:50,23:50,05:50,23:50,
35,성남시,성남시내버스,4500,사송동종점,수원버스터미널,66.4,7,30,40,50,04:40,22:30,04:40,22:30,06:00,23:45,06:00,23:45,
36,성남시,성남시내버스,50,선경아파트,복정역환승센터1번승강장,30.9,24,7,17,22,05:00,22:30,05:00,22:30,05:50,23:25,05:50,23:25,
37,성남시,성남시내버스,51,사기막골,서울대병원,45.3,41,5,15,23,04:20,22:00,04:20,22:00,05:45,23:15,05:45,23:15,
38,성남시,성남시내버스,55,(임시)금토동삼거리,남한산성입구.양지파출소,43.6,18,12,22,37,04:30,22:00,04:30,22:00,04:30,23:10,04:30,23:10,
39,성남시,대명운수,57,선경아파트,세곡동사거리,50.7,35,6,7,10,05:00,22:30,05:00,22:30,06:00,23:35,06:00,23:35,
40,성남시,대명운수,6,상대원차고지,남한산성입구.양지파출소,15.8,10,8,10,13,05:30,22:40,05:30,22:40,06:25,23:05,06:25,23:05,
41,성남시,성남시내버스,60,선경아파트,복정역환승센터1번승강장,43.7,14,15,25,37,05:00,22:00,05:00,22:00,06:05,23:15,06:05,23:15,
42,성남시,대원버스,720-1A,오리역,남한산성입구.양지파출소,39,15,10,15,20,05:00,23:00,05:00,23:00,04:40,23:00,04:40,23:00,
43,성남시,성남시내버스,810,그린빌리지,수진역.성호시장.성일중고입구,8.7,6,15,25,35,06:00,23:00,06:00,23:00,06:30,23:30,06:30,23:30,
44,성남시,경기고속,8106,오리역,상동역1번출구.부천터미널소풍.홈플러스,106.3,22,10,20,25,05:10,23:10,05:10,23:10,05:10,23:10,05:10,23:10,
45,성남시,경기고속,8109,오리역,킨텍스제2전시장,172,8,40,60,60,05:00,23:30,05:00,23:30,05:00,23:30,05:00,23:30,
46,성남시,대원버스,811,도촌9단지후문,수진역.성호시장.성일중고입구,16,6,15,25,40,06:00,23:00,06:00,23:00,06:30,23:30,06:30,23:30,
47,성남시,경기고속,9000,성우스타우스,서울역버스환승센터(5번승강장)(중),72.6,19,3,35,55,04:50,00:00,04:50,00:00,06:00,01:00,06:00,01:00,
